continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Asia,MAC,Macao,2021,2,0,2021-02-08,0.0,,,,0.0,,
Asia,MAC,Macao,2021,2,1,2021-02-09,595.0,,,595.0,0.09,,
Asia,MAC,Macao,2021,2,2,2021-02-10,,,,,,,
Asia,MAC,Macao,2021,2,3,2021-02-11,,,,,,,
Asia,MAC,Macao,2021,2,4,2021-02-12,,,,,,,
Asia,MAC,Macao,2021,2,5,2021-02-13,,,,,,,
Asia,MAC,Macao,2021,2,6,2021-02-14,,,,,,,
Asia,MAC,Macao,2021,2,0,2021-02-15,,,,,,,
Asia,MAC,Macao,2021,2,1,2021-02-16,,,,,,,
Asia,MAC,Macao,2021,2,2,2021-02-17,,,,,,,
Asia,MAC,Macao,2021,2,3,2021-02-18,2000.0,,,,0.31,,
